Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
JacobJYoungYoungCF,WSH,183,575,84,147,31,2,3,48,40,124.0,46,10,0.256,.317,0.332,.649
CJCAbramsAbramsSS,WSH,379,1388,195,341,69,14,40,150,77,296.0,85,20,0.246,.302,0.402,.704
MaxMAcostaAcostaSS,MIA,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
FranciscoFAcunaAcunaB,SD,1,1,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
LuisangelLAcuaAcuaB,NYM,2,6,1,1,0,0,0,1,0,2.0,1,0,0.167,0.167,0.167,0.334
WillyWAdamesAdamesSS,SF,880,3227,467,800,172,5,150,472,348,982.0,51,22,0.248,.322,0.444,.766
LukeLAdamsAdamsX,MIL,3,3,0,1,0,0,0,0,0,0.0,0,0,0.333,0.5,0.333,0.833
JordynJAdamsAdamsCF,BAL,1,2,0,1,0,0,0,2,0,0.0,0,0,0.5,0.5,0.5,1.0
RileyRAdamsAdamsC,WSH,180,500,45,112,30,4,13,49,48,166.0,1,1,0.224,.304,0.378,.682
JoJAdellAdellCF,LAA,3,7,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
ZachZAgnosAgnosP,COL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
TaylerTAguilarAguilarRF,COL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
NickNAhmedAhmedSS,TEX,959,3107,364,726,160,25,72,339,226,678.0,43,23,0.234,.287,0.371,.658
KevinKAlcntaraAlcantaraLF,CHC,5,12,4,6,2,0,0,4,0,3.0,1,0,0.5,0.5,0.667,1.167
SergioSAlcntaraAlcntaraSS,SF,4,6,1,2,0,0,0,0,1,2.0,0,0,0.333,0.429,0.333,0.762
KempKAldermanAldermanLF,MIA,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
BlazeBAlexanderAlexanderB,AZ,2,2,1,0,0,0,0,0,1,0.0,0,0,0.0,0.333,0.0,0.333
CJCAlexanderAlexanderB,ATH,4,8,0,1,0,0,0,0,0,3.0,0,0,0.125,.125,0.125,.250
JorgeJAlfaroAlfaroC,MIL,496,1590,152,402,71,4,48,198,72,581.0,18,5,0.253,.302,0.393,.695
EliezerEAlfonzoAlfonzoC,DET,193,591,44,142,24,3,17,67,17,158.0,1,2,0.24,.271,0.377,.648
OmarOAlfonzoAlfonzoX,PIT,1,2,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
PabloPAliendoAliendoX,CHC,3,5,0,1,0,0,0,0,0,1.0,0,1,0.2,0.2,0.2,0.4
GregGAllenAllenLF,CHC,2,4,3,3,0,1,0,0,1,1.0,0,0,0.75,0.8,1.25,2.05
NickNAllenAllenSS,ATL,247,699,66,146,21,2,9,43,41,136.0,8,3,0.209,.254,0.283,.537
JayJAllenIIAllenIILF,CIN,1,2,0,1,0,0,0,1,0,0.0,0,0,0.5,0.5,0.5,1.0
ArielAAlmonteAlmonteRF,CIN,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
AlbertAAlmoraAlmoraRF,MIA,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
PetePAlonsoAlonsoB,NYM,846,3139,493,781,142,7,226,586,358,822.0,17,2,0.249,.339,0.514,.853
ArmandoAAlvarezAlvarezB,MIN,16,37,7,9,1,0,0,2,2,8.0,1,0,0.243,.282,0.27,.552
EddyEAlvarezAlvarezB,ATL,63,135,17,23,5,1,1,11,8,45.0,4,0,0.17,.257,0.244,.501
FranciscoFAlvarezAlvarezC,NYM,228,702,93,155,27,2,37,111,66,200.0,3,1,0.221,.294,0.423,.717
NachoNAlvarezJrAlvarezB,ATL,2,5,0,0,0,0,0,0,1,1.0,0,0,0.0,0.167,0.0,0.167
AdaelAAmadorAmadorB,COL,10,35,1,6,1,0,0,0,1,6.0,1,0,0.171,.194,0.2,.394
JacobJAmayaAmayaSS,CWS,28,77,5,14,1,0,0,5,4,29.0,2,0,0.182,.222,0.195,.417
JakeJAnchiaAnchiaC,CLE,2,3,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
TimTAndersonAndersonB,LAA,2,5,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
MiguelMAndujarAndujarLF,ATH,373,1361,161,372,79,5,43,179,61,227.0,12,5,0.273,.306,0.434,.740
MiguelMAndujarAndujarLF,ATH,373,1361,161,372,79,5,43,179,61,227.0,12,5,0.273,.306,0.434,.740
RomanRAnthonyAnthonyLF,BOS,3,8,1,3,0,0,0,2,0,1.0,0,0,0.375,0.444,0.375,0.819
JonathanJArandaArandaB,TB,110,293,45,65,15,1,10,33,33,86.0,0,0,0.222,.309,0.382,.691
OrlandoOArciaArciaSS,ATL,938,3051,332,737,130,7,87,334,231,675.0,43,16,0.242,.295,0.374,.669
SilasSArdoinArdoinC,BAL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
JadherJAreinamoAreinamoB,MIL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
NolanNArenadoArenadoB,STL,1680,6406,944,1826,387,33,341,1132,549,1045.0,28,23,0.285,.342,0.515,.857
RaynerRAriasAriasX,SF,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
RoderickRAriasAriasSS,NYY,2,4,1,3,1,0,0,0,0,1.0,0,0,0.75,0.75,1.0,1.75
RandyRArozarenaArozarenaLF,SEA,641,2299,357,583,128,9,91,314,263,677.0,100,43,0.254,.346,0.436,.782
LuisLArraezArraezB,SD,686,2624,370,847,139,14,28,247,196,194.0,20,13,0.323,.372,0.418,.790
EdwinEArroyoArroyoSS,CIN,3,5,0,0,0,0,0,0,0,3.0,0,0,0.0,0.0,0.0,0.0
MichaelMArroyoArroyoB,SEA,3,5,1,1,1,0,0,2,0,1.0,0,0,0.2,0.333,0.4,0.733
AeversonAArteagaArteagaB,SF,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
DrewDAvansAvansCF,ATH,3,5,2,2,2,0,0,0,0,1.0,0,0,0.4,0.5,0.8,1.3
JiHwanJBaeBaeCF,PIT,150,441,70,102,22,2,2,44,38,122.0,33,11,0.231,.296,0.304,.600
JuanJBaezBaezX,MIL,1,1,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
LuisLBaezBaezRF,HOU,1,1,0,0,0,0,0,0,1,1.0,0,0,0.0,0.5,0.0,0.5
DarrenDBakerBakerB,WSH,9,14,1,7,2,0,0,0,0,3.0,0,0,0.5,.500,0.643,1.143
LeoLBalcazarBalcazarB,CIN,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
DrakeDBaldwinBaldwinC,ATL,2,3,0,0,0,0,0,0,1,0.0,0,0,0.0,0.25,0.0,0.25
BrooksRBaldwinBaldwinB,CWS,33,114,9,24,6,0,2,8,6,31.0,4,0,0.211,.250,0.316,.566
MoisesMBallesterosBallesterosDH,CHC,5,8,3,2,0,0,0,0,2,1.0,0,0,0.25,0.4,0.25,0.65
ScottSBanduraBanduraLF,SF,1,0,1,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,1.0
ColinCBarberBarberLF,HOU,2,3,1,1,1,0,0,0,1,1.0,0,0,0.333,0.5,0.667,1.167
AddisonABargerBargerB,TOR,69,208,20,41,11,0,7,28,14,60.0,2,0,0.197,.250,0.351,.601
AustinABarnesBarnesC,LAD,599,1474,202,329,60,3,35,160,195,377.0,23,6,0.223,.324,0.339,.663
TuckerTBarnhartBarnhartC,TEX,916,2736,254,659,131,6,53,292,296,649.0,8,5,0.241,.318,0.351,.669
BostonBBaroBaroX,NYM,1,2,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
TresTBarreraBarreraX,TB,3,4,0,1,0,0,0,2,0,3.0,0,0,0.25,0.25,0.25,0.5
FranklinFBarretoBarretoLF,BAL,101,228,31,40,7,2,9,29,7,100.0,4,0,0.175,.207,0.342,.549
JorgeJBarrosaBarrosaCF,AZ,2,4,2,1,0,0,0,0,0,2.0,0,0,0.25,0.4,0.25,0.65
JoeyJBartBartC,PIT,242,710,97,167,27,2,24,83,54,251.0,2,1,0.235,.306,0.38,.686
OsleivisOBasabeBasabeSS,SF,31,87,15,19,5,0,1,12,6,25.0,0,1,0.218,.277,0.31,.587
SamuelSBasalloBasalloC,BAL,1,3,0,1,0,0,0,0,0,1.0,0,0,0.333,0.333,0.333,0.666
JessJBastidasBastidasB,HOU,2,2,1,0,0,0,0,0,2,1.0,0,1,0.0,0.6,0.0,0.6
DavidDBauelosBauelosC,BAL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.000,0.0,.000
DylanDBeaversBeaversX,BAL,2,3,1,2,1,0,0,0,1,1.0,0,0,0.667,0.75,1.0,1.75
JordanJBeckBeckRF,COL,4,8,1,1,0,0,0,0,2,3.0,0,0,0.125,0.3,0.125,0.425
JoshJBellBellDH,WSH,3,7,2,3,1,0,0,2,1,1.0,0,0,0.429,0.5,0.571,1.071
CodyCBellingerBellingerCF,NYY,1005,3642,601,942,186,23,196,597,412,867.0,91,22,0.259,.334,0.484,.818
AndrewABenintendiBenintendiLF,CWS,1031,3830,518,1034,223,20,98,493,402,759.0,85,29,0.27,.340,0.415,.755
WillWBensonBensonRF,CIN,2,3,0,0,0,0,0,0,0,2.0,0,0,0.0,0.25,0.0,0.25
VictorVBericotoBericotoB,SF,1,2,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
LeonardoLBernalBernalC,STL,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
StewardSBerroaBerroaCF,TOR,3,9,1,4,2,0,0,2,0,2.0,0,0,0.444,0.444,0.667,1.111
JacobJBerryBerryB,MIA,2,3,0,0,0,0,0,1,1,1.0,0,0,0.0,0.25,0.0,0.25
JonJBertiBertiB,CHC,461,1436,220,372,63,9,24,126,156,355.0,97,21,0.259,.337,0.366,.703
BryantBBetancourtBetancourtX,COL,3,2,1,1,0,0,0,2,0,1.0,0,0,0.5,0.5,0.5,1.0
ChristianCBethancourtBethancourtC,TOR,428,1241,149,284,60,0,35,135,48,326.0,12,5,0.229,.259,0.362,.621
MookieMBettsBettsSS,LAD,1381,5494,1071,1615,371,39,271,831,675,856.0,188,39,0.294,.373,0.524,.897
BoBBichetteBichetteSS,TOR,609,2493,360,723,146,7,93,343,147,548.0,56,18,0.29,.332,0.466,.798
JusticeJBigbieBigbieRF,DET,1,3,1,2,0,0,0,1,0,0.0,0,0,0.667,0.667,0.667,1.334
HunterHBishopBishopX,SF,1,1,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
EricEBitontiBitontiB,MIL,1,2,0,0,0,0,0,0,0,2.0,0,0,0.0,0.0,0.0,0.0
DaironDBlancoBlancoLF,KC,162,251,57,65,11,4,7,33,18,69.0,56,12,0.259,.315,0.418,.733
JJJBledayBledayCF,ATH,306,1032,130,223,64,6,35,103,139,264.0,11,5,0.216,.311,0.391,.702
RyanRBlissBlissB,SEA,33,63,10,14,3,1,2,9,5,22.0,5,3,0.222,.290,0.397,.687
XanderXBogaertsBogaertsSS,SD,2,3,0,1,0,0,0,0,1,2.0,0,0,0.333,0.5,0.333,0.833
AlecABohmBohmB,PHI,599,2238,285,620,125,5,59,336,160,437.0,16,7,0.277,.327,0.416,.743
HenryHBolteBolteRF,ATH,2,3,1,0,0,0,0,0,0,2.0,0,0,0.0,0.0,0.0,0.0
TrevorTBooneBooneB,COL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
DavidDBoteBoteB,LAD,421,1065,136,249,51,5,36,156,115,324.0,11,6,0.234,.318,0.392,.710
SeanSBouchardBouchardRF,COL,79,203,34,51,15,0,8,26,37,72.0,4,1,0.251,.368,0.443,.811
CooperCBowmanBowmanB,CIN,3,6,0,0,0,0,0,0,0,2.0,0,0,0.0,0.0,0.0,0.0
JustinJBoydBoydRF,CLE,2,3,0,0,0,0,0,0,2,2.0,0,0,0.0,0.4,0.0,0.4
AaronABrachoBrachoB,LAD,2,3,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
JackJBranniganBranniganB,PIT,2,5,0,0,0,0,0,0,0,2.0,0,0,0.0,0.0,0.0,0.0
RobRBrantlyBrantlyC,MIA,138,423,32,94,21,0,7,37,33,98.0,1,1,0.222,.284,0.322,.606
WillWBrennanBrennanRF,CLE,263,804,84,217,38,3,14,79,37,109.0,19,8,0.27,.308,0.377,.685
JonahJBrideBrideB,MIA,169,482,56,112,17,0,12,52,60,109.0,1,2,0.232,.325,0.342,.667
JuanJBritoBritoB,CLE,2,5,0,0,0,0,0,0,0,2.0,0,0,0.0,0.0,0.0,0.0
TrentonTBrooksBrooksB,SD,12,25,3,3,0,0,0,1,4,6.0,1,0,0.12,.241,0.12,.361
MikeMBrosseauBrosseauB,SD,244,582,69,141,28,1,26,77,48,191.0,7,0,0.242,.313,0.428,.741
DasanDBrownBrownCF,TOR,1,1,1,1,0,0,0,1,1,0.0,0,0,1.0,1.0,1.0,2.0
DevonteDBrownBrownLF,TOR,1,2,1,1,0,0,0,2,0,1.0,0,0,0.5,0.5,0.5,1.0
SethSBrownBrownRF,ATH,2,5,0,1,1,0,0,3,0,1.0,1,0,0.2,0.2,0.4,0.6
CadeCBunnellBunnellB,ATL,1,2,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
JakeJBurgerBurgerB,TEX,344,1233,164,309,63,4,72,185,77,370.0,2,2,0.251,.305,0.483,.788
JorgeJBurgosBurgosLF,CLE,2,4,1,1,0,0,0,1,0,1.0,0,0,0.25,0.25,0.25,0.5
BlakeBBurkeBurkeB,MIL,1,2,0,1,1,0,0,1,0,0.0,0,0,0.5,0.5,1.0,1.5
AlecABurlesonBurlesonB,STL,2,4,0,0,0,0,0,1,1,1.0,0,0,0.0,0.167,0.0,0.167
ConnorCBurnsBurnsC,CIN,1,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,1.0
WillWBushBushX,HOU,1,1,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
BrandonBButterworthButterworthX,SD,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
ByronBBuxtonBuxtonCF,MIN,772,2614,426,639,157,24,133,353,193,830.0,93,12,0.244,.304,0.476,.780
JosJCaballeroCaballeroSS,TB,243,672,90,151,33,2,13,70,55,199.0,70,19,0.225,.305,0.338,.643
OswaldoOCabreraCabreraB,NYY,268,751,103,175,30,1,19,84,61,179.0,15,4,0.233,.291,0.352,.643
RicardoRCabreraCabreraB,CIN,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
ChristianCCairoCairoDH,ATL,3,5,0,0,0,0,0,0,0,3.0,0,0,0.0,0.0,0.0,0.0
AlexACallCallLF,WSH,2,1,0,1,1,0,0,1,4,0.0,1,0,1.0,1.0,2.0,3.0
AustinACallahanCallahanB,CIN,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
TylerTCallihanCallihanB,CIN,3,4,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0
JairJCamargoCamargoC,MIN,5,6,1,0,0,0,0,0,1,3.0,0,0,0.0,.143,0.0,.143
