Player,Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
LoganLGilbertGilbertP,SEA,0,0,18.00,1,1,0,0,0,0,1.0,1,2,2,0,0,2,3,3.00,.250
AustinAGomberGomberP,COL,1,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
HunterHGreeneGreeneP,CIN,0,0,9.00,1,1,0,0,0,0,2.0,4,2,2,1,0,1,3,2.50,.400
RyanRGustoGustoP,HOU,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,1,3,0.50,.000
ThomasTHatchHatchP,KC,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
BrentBHeadrickHeadrickP,NYY,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,3,2.00,.250
KyleKHendricksHendricksP,LAA,1,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
WilkelWHernandezHernandezP,DET,1,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,2,3,1.50,.143
CarlosCHernndezHernndezP,KC,0,0,18.00,2,0,0,0,0,0,2.0,3,4,4,1,0,1,3,2.00,.333
SeanSHjelleHjelleP,SF,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,3,0.00,.000
NolanNHoffmanHoffmanP,TEX,0,1,21.60,2,0,0,0,0,0,1.2,5,4,4,1,0,1,3,3.60,.500
ClayCHolmesHolmesP,NYM,1,0,0.00,1,1,0,0,0,0,3.0,0,0,0,0,0,0,3,0.00,.000
DakotaDHudsonHudsonP,LAA,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,0,1,3,1.50,.286
BrantBHurterHurterP,DET,0,0,4.50,1,0,0,0,0,0,2.0,3,1,1,0,0,1,3,2.00,.333
JoeJJacquesJacquesP,LAD,0,0,4.50,2,0,0,0,0,0,2.0,2,2,1,0,0,1,3,1.50,.250
JaredJJonesJonesP,PIT,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,1,3,1.00,.167
JamesJKarinchakKarinchakP,CWS,0,0,9.00,1,0,0,0,0,1,1.0,1,1,1,1,0,0,3,1.00,.250
BradBKellerKellerP,CHC,1,0,0.00,2,0,0,0,0,0,3.2,2,0,0,0,0,1,3,0.82,.167
ZakZKentKentP,CLE,0,0,3.00,2,0,0,0,0,0,3.0,2,1,1,0,0,1,3,1.00,.200
CalebCKilianKilianP,CHC,1,0,5.40,1,0,0,0,0,1,1.2,5,1,1,0,0,1,3,3.60,.556
WillWKleinKleinP,SEA,0,0,9.00,2,0,0,0,0,0,2.0,4,3,2,0,0,1,3,2.50,.364
JackJKochanowiczKochanowiczP,LAA,0,0,4.50,1,1,0,0,0,0,2.0,2,2,1,0,0,1,3,1.50,.250
