Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
StevenSCruzCruzP,0,0,3.44,15,4,0,0,0,0,18.1,12,7,7,1.0,1.0,11,19,1.25,.176,KC
ChaseCDollanderDollanderP,0,0,4.50,1,1,0,0,0,0,2.0,2,1,1,1.0,0.0,0,3,1.00,0.25,COL
ShaneSDrohanDrohanP,1,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0.0,0.0,0,3,0.00,0.0,BOS
JuniorJunFernndezFernndezP,1,1,5.17,50,0,0,0,0,4,54.0,58,32,31,8.0,5.0,35,47,1.72,.276,KC
RicoRGarciaGarciaP,1,2,7.32,30,1,0,0,0,1,35.2,49,29,29,11.0,0.0,18,21,1.88,.329,NYM
LoganLGilbertGilbertP,41,30,3.60,121,121,2,1,0,0,704.1,599,299,282,91.0,18.0,150,711,1.06,.226,SEA
AustinAGomberGomberP,35,40,4.86,156,112,0,0,0,0,648.0,681,367,350,104.0,15.0,203,505,1.36,.270,COL
HunterHGreeneGreeneP,18,25,3.90,72,72,1,1,0,0,388.0,311,176,168,55.0,37.0,153,485,1.20,.217,CIN
RyanRGustoGustoP,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0.0,0.0,1,3,0.50,0.0,HOU
ThomasTHatchHatchP,4,4,4.96,39,6,0,0,0,1,69.0,74,46,38,9.0,5.0,33,61,1.55,.276,KC
BrentBHeadrickHeadrickP,3,0,5.97,15,0,0,0,1,2,28.2,29,19,19,8.0,4.0,12,35,1.43,.259,NYY
KyleKHendricksHendricksP,97,81,3.68,276,270,6,4,0,0,1580.1,1501,696,647,184.0,64.0,364,1259,1.18,.250,LAA
WilkelWHernandezHernandezP,1,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0.0,0.0,2,3,1.50,0.143,DET
CarlosCHernndezHernndezP,7,19,4.95,150,25,0,0,4,12,256.1,246,150,141,29.0,8.0,125,226,1.45,.253,KC
CarlosCHernndezHernndezP,9,8,4.54,35,33,0,0,0,0,170.2,173,89,86,23.0,8.0,91,136,1.55,.264,KC
SeanSHjelleHjelleP,6,7,4.81,81,0,0,0,0,1,134.2,155,81,72,16.0,10.0,35,134,1.41,.287,SF
